Survived,Pclass,Sex,Age,SibSp,Parch
0,3,0,22.0,1,0
1,1,1,38.0,1,0
1,3,1,26.0,0,0
1,1,1,35.0,1,0
0,3,0,35.0,0,0
0,1,0,54.0,0,0
0,3,0,2.0,3,1
1,3,1,27.0,0,2
1,2,1,14.0,1,0
1,3,1,4.0,1,1
1,1,1,58.0,0,0
0,3,0,20.0,0,0
0,3,0,39.0,1,5
0,3,1,14.0,0,0
1,2,1,55.0,0,0
0,3,0,2.0,4,1
0,3,1,31.0,1,0
0,2,0,35.0,0,0
1,2,0,34.0,0,0
1,3,1,15.0,0,0
1,1,0,28.0,0,0
0,3,1,8.0,3,1
1,3,1,38.0,1,5
0,1,0,19.0,3,2
0,1,0,40.0,0,0
0,2,0,66.0,0,0
0,1,0,28.0,1,0
0,1,0,42.0,1,0
0,3,0,21.0,0,0
0,3,1,18.0,2,0
1,3,1,14.0,1,0
0,3,1,40.0,1,0
0,2,1,27.0,1,0
1,2,1,3.0,1,2
1,3,1,19.0,0,0
0,3,1,18.0,1,0
0,3,0,7.0,4,1
0,3,0,21.0,0,0
1,1,1,49.0,1,0
1,2,1,29.0,1,0
0,1,0,65.0,0,1
1,2,1,21.0,0,0
0,3,0,28.5,0,0
1,2,1,5.0,1,2
0,3,0,11.0,5,2
0,3,0,22.0,0,0
1,1,1,38.0,0,0
0,1,0,45.0,1,0
0,3,0,4.0,3,2
1,2,1,29.0,0,0
0,3,0,19.0,0,0
1,3,1,17.0,4,2
0,3,0,26.0,2,0
0,2,0,32.0,0,0
0,3,1,16.0,5,2
0,2,0,21.0,0,0
0,3,0,26.0,1,0
1,3,0,32.0,0,0
0,3,0,25.0,0,0
1,2,0,0.83,0,2
1,3,1,30.0,0,0
0,3,0,22.0,0,0
1,3,0,29.0,0,0
0,1,0,28.0,0,0
1,2,1,17.0,0,0
1,3,1,33.0,3,0
0,3,0,16.0,1,3
1,1,1,23.0,3,2
0,3,0,24.0,0,0
0,3,0,29.0,0,0
0,3,0,20.0,0,0
0,1,0,46.0,1,0
0,3,0,26.0,1,2
0,3,0,59.0,0,0
0,1,0,71.0,0,0
1,1,0,23.0,0,1
1,2,1,34.0,0,1
0,2,0,34.0,1,0
0,3,1,28.0,0,0
0,1,0,21.0,0,1
0,3,0,33.0,0,0
0,3,0,37.0,2,0
0,3,0,28.0,0,0
1,3,1,21.0,0,0
0,3,0,38.0,0,0
0,1,0,47.0,0,0
0,3,1,14.5,1,0
0,3,0,22.0,0,0
0,3,1,20.0,1,0
0,3,1,17.0,0,0
0,3,0,21.0,0,0
0,3,0,70.5,0,0
0,2,0,29.0,1,0
0,1,0,24.0,0,1
0,3,1,2.0,4,2
0,2,0,21.0,2,0
0,2,0,32.5,1,0
1,2,1,32.5,0,0
0,1,0,54.0,0,1
1,3,0,12.0,1,0
1,3,0,24.0,0,0
0,3,0,45.0,0,0
0,3,0,33.0,0,0
0,3,0,20.0,0,0
0,3,1,47.0,1,0
1,2,1,29.0,1,0
0,2,0,25.0,0,0
0,2,0,23.0,0,0
1,1,1,19.0,0,2
0,1,0,37.0,1,0
0,3,0,16.0,0,0
0,1,0,24.0,0,0
1,3,1,22.0,0,0
1,3,1,24.0,1,0
0,3,0,19.0,0,0
0,2,0,18.0,0,0
0,2,0,19.0,1,1
1,3,0,27.0,0,0
0,3,1,9.0,2,2
0,2,0,36.5,0,2
0,2,0,42.0,0,0
0,2,0,51.0,0,0
1,1,1,22.0,1,0
0,3,0,55.5,0,0
0,3,0,40.5,0,2
0,1,0,51.0,0,1
1,3,1,16.0,0,0
0,3,0,30.0,0,0
0,3,0,44.0,0,1
1,2,1,40.0,0,0
0,3,0,26.0,0,0
0,3,0,17.0,0,0
0,3,0,1.0,4,1
1,3,0,9.0,0,2
0,3,1,45.0,1,4
0,3,0,28.0,0,0
0,1,0,61.0,0,0
0,3,0,4.0,4,1
1,3,1,1.0,1,1
0,3,0,21.0,0,0
0,1,0,56.0,0,0
0,3,0,18.0,1,1
0,1,1,50.0,0,0
0,2,0,30.0,0,0
0,3,0,36.0,0,0
0,3,0,9.0,4,2
1,2,0,1.0,2,1
1,3,1,4.0,0,2
1,1,0,45.0,0,0
0,3,0,40.0,1,1
0,3,0,36.0,0,0
1,2,1,32.0,0,0
0,2,0,19.0,0,0
1,3,1,19.0,1,0
1,2,0,3.0,1,1
1,1,1,44.0,0,0
1,1,1,58.0,0,0
0,3,0,42.0,0,1
0,2,1,24.0,0,0
0,3,0,28.0,0,0
0,3,0,34.0,0,0
0,3,0,45.5,0,0
1,3,0,18.0,0,0
0,3,1,2.0,0,1
0,3,0,32.0,1,0
1,3,0,26.0,0,0
1,3,1,16.0,0,0
1,1,0,40.0,0,0
0,3,0,24.0,0,0
1,2,1,35.0,0,0
0,3,0,22.0,0,0
0,2,0,30.0,0,0
1,1,1,31.0,1,0
1,3,1,27.0,0,0
0,2,0,42.0,1,0
1,1,1,32.0,0,0
0,2,0,30.0,0,0
1,3,0,16.0,0,0
0,2,0,27.0,0,0
0,3,0,51.0,0,0
1,1,0,38.0,1,0
0,3,0,22.0,0,0
1,2,0,19.0,0,0
0,3,0,20.5,0,0
0,2,0,18.0,0,0
1,1,1,35.0,1,0
0,3,0,29.0,0,0
0,2,0,59.0,0,0
1,3,1,5.0,4,2
0,2,0,24.0,0,0
0,2,0,44.0,1,0
1,2,1,8.0,0,2
0,2,0,19.0,0,0
0,2,0,33.0,0,0
0,2,0,29.0,0,0
0,3,0,22.0,0,0
0,3,0,30.0,0,0
0,1,0,44.0,2,0
0,3,1,25.0,0,0
1,2,1,24.0,0,2
1,1,0,37.0,1,1
0,2,0,54.0,1,0
0,3,1,29.0,1,1
0,1,0,62.0,0,0
0,3,0,30.0,1,0
0,3,1,41.0,0,2
1,3,1,29.0,0,2
1,1,1,30.0,0,0
1,1,1,35.0,0,0
1,2,1,50.0,0,1
1,3,0,3.0,4,2
0,1,0,52.0,1,1
0,1,0,40.0,0,0
0,2,0,36.0,0,0
0,3,0,16.0,4,1
1,3,0,25.0,1,0
1,1,1,58.0,0,1
1,1,1,35.0,0,0
1,3,0,25.0,0,0
1,2,1,41.0,0,1
0,1,0,37.0,0,1
1,1,1,63.0,1,0
0,3,1,45.0,0,0
0,3,0,7.0,4,1
1,3,1,35.0,1,1
0,3,0,65.0,0,0
0,3,0,28.0,0,0
0,3,0,16.0,0,0
1,3,0,19.0,0,0
0,3,0,33.0,0,0
1,3,0,30.0,0,0
0,3,0,22.0,0,0
1,2,0,42.0,0,0
1,3,1,22.0,0,0
1,1,1,26.0,0,0
1,1,1,19.0,1,0
0,2,0,36.0,0,0
0,3,1,24.0,0,0
0,3,0,24.0,0,0
0,3,0,23.5,0,0
0,1,1,2.0,1,2
1,1,1,50.0,0,1
0,3,0,19.0,0,0
1,1,0,0.92,1,2
1,1,1,17.0,1,0
0,2,0,30.0,1,0
1,1,1,30.0,0,0
1,1,1,24.0,0,0
1,1,1,18.0,2,2
0,2,1,26.0,1,1
0,3,0,28.0,0,0
0,2,0,43.0,1,1
1,3,1,26.0,0,0
1,2,1,24.0,1,0
0,2,0,54.0,0,0
1,1,1,31.0,0,2
1,1,1,40.0,1,1
0,3,0,22.0,0,0
0,3,0,27.0,0,0
1,2,1,30.0,0,0
1,2,1,22.0,1,1
1,1,1,36.0,0,0
0,3,0,61.0,0,0
1,2,1,36.0,0,0
1,3,1,31.0,1,1
1,1,1,16.0,0,1
0,1,0,45.5,0,0
0,1,0,38.0,0,1
0,3,0,16.0,2,0
0,1,0,29.0,1,0
1,1,1,41.0,0,0
1,3,0,45.0,0,0
0,1,0,45.0,0,0
1,2,0,2.0,1,1
1,1,1,24.0,3,2
0,2,0,28.0,0,0
0,2,0,25.0,0,0
0,2,0,36.0,0,0
1,2,1,24.0,0,0
1,2,1,40.0,0,0
1,3,0,3.0,1,1
0,3,0,42.0,0,0
0,3,0,23.0,0,0
0,3,0,15.0,1,1
0,3,0,25.0,1,0
0,3,0,28.0,0,0
1,1,1,22.0,0,1
0,2,1,38.0,0,0
0,3,0,40.0,1,4
0,2,0,29.0,1,0
0,3,1,45.0,0,1
0,3,0,35.0,0,0
0,3,0,30.0,0,0
1,1,1,60.0,1,0
1,1,1,24.0,0,0
1,1,0,25.0,1,0
0,3,0,18.0,1,0
0,3,0,19.0,0,0
0,1,0,22.0,0,0
0,3,1,3.0,3,1
1,3,1,22.0,0,0
0,1,0,27.0,0,2
0,3,0,20.0,0,0
0,3,0,19.0,0,0
1,1,1,42.0,0,0
1,3,1,1.0,0,2
0,3,0,32.0,0,0
1,1,1,35.0,1,0
0,2,0,18.0,0,0
0,3,0,1.0,5,2
1,2,1,36.0,0,0
1,2,1,17.0,0,0
1,1,0,36.0,1,2
1,3,0,21.0,0,0
0,3,0,28.0,2,0
1,1,1,23.0,1,0
1,3,1,24.0,0,2
0,3,0,22.0,0,0
0,3,1,31.0,0,0
0,2,0,46.0,0,0
0,2,0,23.0,0,0
1,2,1,28.0,0,0
1,3,0,39.0,0,0
0,3,0,26.0,0,0
0,3,1,21.0,1,0
0,3,0,28.0,1,0
0,3,1,20.0,0,0
0,2,0,34.0,1,0
0,3,0,51.0,0,0
1,2,0,3.0,1,1
0,3,0,21.0,0,0
1,1,1,33.0,1,0
1,3,0,44.0,0,0
1,2,1,34.0,1,1
1,2,1,18.0,0,2
0,2,0,30.0,0,0
0,3,1,10.0,0,2
0,3,0,21.0,0,0
0,3,0,29.0,0,0
0,3,1,28.0,1,1
0,3,0,18.0,1,1
1,2,1,28.0,1,0
1,2,1,19.0,0,0
1,3,0,32.0,0,0
1,1,0,28.0,0,0
1,2,1,42.0,1,0
0,3,0,17.0,0,0
0,1,0,50.0,1,0
1,1,1,14.0,1,2
0,3,1,21.0,2,2
1,2,1,24.0,2,3
0,1,0,64.0,1,4
0,2,0,31.0,0,0
1,2,1,45.0,1,1
0,3,0,20.0,0,0
0,3,0,25.0,1,0
1,2,1,28.0,0,0
1,1,0,4.0,0,2
1,2,1,13.0,0,1
1,1,0,34.0,0,0
1,3,1,5.0,2,1
1,1,0,52.0,0,0
0,2,0,36.0,1,2
0,1,0,30.0,0,0
1,1,0,49.0,1,0
1,3,0,29.0,0,0
0,1,0,65.0,0,0
1,2,1,50.0,0,0
1,1,0,48.0,0,0
0,3,0,34.0,0,0
0,1,0,47.0,0,0
0,2,0,48.0,0,0
0,3,0,38.0,0,0
0,1,0,56.0,0,0
1,3,1,0.75,2,1
0,3,0,38.0,0,0
1,2,1,33.0,1,2
1,2,1,23.0,0,0
0,3,1,22.0,0,0
0,2,0,34.0,1,0
0,3,0,29.0,1,0
0,3,0,22.0,0,0
1,3,1,2.0,0,1
0,3,0,9.0,5,2
0,3,0,50.0,0,0
1,3,1,63.0,0,0
1,1,0,25.0,1,0
1,1,1,35.0,1,0
0,1,0,58.0,0,0
0,3,0,30.0,0,0
1,3,0,9.0,1,1
0,3,0,21.0,0,0
0,1,0,55.0,0,0
0,1,0,71.0,0,0
0,3,0,21.0,0,0
1,1,1,54.0,1,0
0,1,1,25.0,1,2
0,3,0,24.0,0,0
0,3,0,17.0,0,0
0,3,1,21.0,0,0
0,3,1,37.0,0,0
1,1,1,16.0,0,0
0,1,0,18.0,1,0
1,2,1,33.0,0,2
0,3,0,28.0,0,0
1,3,0,26.0,0,0
1,3,0,29.0,0,0
1,1,0,36.0,0,0
1,1,1,54.0,1,0
0,3,0,24.0,0,0
0,1,0,47.0,0,0
1,2,1,34.0,0,0
1,2,1,36.0,1,0
0,3,0,32.0,0,0
1,1,1,30.0,0,0
0,3,0,22.0,0,0
1,1,1,44.0,0,1
0,3,0,40.5,0,0
1,2,1,50.0,0,0
0,3,0,39.0,0,0
0,2,0,23.0,2,1
1,2,1,2.0,1,1
0,3,0,17.0,1,1
0,3,1,30.0,0,0
1,2,1,7.0,0,2
0,1,0,45.0,0,0
1,1,1,30.0,0,0
1,1,1,22.0,0,2
1,1,1,36.0,0,2
0,3,1,9.0,4,2
0,3,1,11.0,4,2
1,2,0,32.0,1,0
0,1,0,50.0,1,0
0,1,0,64.0,0,0
1,2,1,19.0,1,0
0,3,0,33.0,1,1
1,2,0,8.0,1,1
1,1,0,17.0,0,2
0,2,0,27.0,0,0
1,3,0,22.0,0,0
1,3,1,22.0,0,0
0,1,0,62.0,0,0
1,1,1,48.0,1,0
1,1,1,39.0,1,1
1,3,1,36.0,1,0
0,3,0,40.0,0,0
0,2,0,28.0,0,0
0,3,0,24.0,2,0
0,3,0,19.0,0,0
0,3,1,29.0,0,4
1,3,0,32.0,0,0
1,2,0,62.0,0,0
1,1,1,53.0,2,0
1,1,0,36.0,0,0
0,3,0,16.0,0,0
0,3,0,19.0,0,0
1,2,1,34.0,0,0
1,1,1,39.0,1,0
1,3,0,32.0,0,0
1,2,1,25.0,1,1
1,1,1,39.0,1,1
0,2,0,54.0,0,0
0,1,0,36.0,0,0
1,1,1,18.0,0,2
0,2,0,47.0,0,0
1,1,0,60.0,1,1
0,3,0,22.0,0,0
0,3,0,35.0,0,0
1,1,1,52.0,1,0
0,3,0,47.0,0,0
0,2,0,37.0,1,0
0,3,0,36.0,1,1
0,3,0,49.0,0,0
1,1,0,49.0,1,0
1,2,1,24.0,2,1
0,3,0,44.0,0,0
1,1,0,35.0,0,0
0,3,0,36.0,1,0
0,3,0,30.0,0,0
1,1,0,27.0,0,0
1,2,1,22.0,1,2
1,1,1,40.0,0,0
0,3,1,39.0,1,5
0,3,0,35.0,0,0
1,2,1,24.0,1,2
0,3,0,34.0,1,1
0,3,1,26.0,1,0
1,2,1,4.0,2,1
0,2,0,26.0,0,0
0,3,0,27.0,1,0
1,1,0,42.0,1,0
1,3,0,20.0,1,1
0,3,0,21.0,0,0
0,3,0,21.0,0,0
0,1,0,61.0,0,0
0,2,0,57.0,0,0
1,1,1,21.0,0,0
0,3,0,26.0,0,0
1,1,0,80.0,0,0
0,3,0,51.0,0,0
1,1,0,32.0,0,0
0,3,1,9.0,3,2
1,2,1,28.0,0,0
0,3,0,32.0,0,0
0,2,0,31.0,1,1
0,3,1,41.0,0,5
0,3,0,20.0,0,0
1,1,1,24.0,0,0
0,3,1,2.0,3,2
1,3,1,0.75,2,1
1,1,0,48.0,1,0
0,3,0,19.0,0,0
1,1,0,56.0,0,0
1,3,1,23.0,0,0
1,2,1,18.0,0,1
0,3,0,21.0,0,0
0,3,1,18.0,0,0
0,2,0,24.0,2,0
0,3,1,32.0,1,1
0,2,0,23.0,0,0
0,1,0,58.0,0,2
1,1,0,50.0,2,0
0,3,0,40.0,0,0
0,1,0,47.0,0,0
0,3,0,36.0,0,0
1,3,0,20.0,1,0
0,2,0,32.0,2,0
0,2,0,25.0,0,0
0,3,0,43.0,0,0
1,2,1,40.0,1,1
0,1,0,31.0,1,0
0,2,0,70.0,0,0
1,2,0,31.0,0,0
0,3,0,18.0,0,0
0,3,0,24.5,0,0
1,3,1,18.0,0,0
0,3,1,43.0,1,6
1,1,0,36.0,0,1
1,1,0,27.0,0,0
0,3,0,20.0,0,0
0,3,0,14.0,5,2
0,2,0,60.0,1,1
0,2,0,25.0,1,2
0,3,0,14.0,4,1
0,3,0,19.0,0,0
0,3,0,18.0,0,0
1,1,1,15.0,0,1
1,1,0,31.0,1,0
1,3,1,4.0,0,1
0,3,0,25.0,0,0
0,1,0,60.0,0,0
0,2,0,52.0,0,0
0,3,0,44.0,0,0
0,1,0,49.0,1,1
0,3,0,42.0,0,0
1,1,1,18.0,1,0
1,1,0,35.0,0,0
0,3,1,18.0,0,1
0,3,0,25.0,0,0
0,3,0,26.0,1,0
0,2,0,39.0,0,0
1,2,1,45.0,0,0
1,1,0,42.0,0,0
1,1,1,22.0,0,0
1,1,1,24.0,0,0
1,1,0,48.0,1,0
0,3,0,29.0,0,0
0,2,0,52.0,0,0
0,3,0,19.0,0,0
1,1,1,38.0,0,0
1,2,1,27.0,0,0
0,3,0,33.0,0,0
1,2,1,6.0,0,1
0,3,0,17.0,1,0
0,2,0,34.0,0,0
0,2,0,50.0,0,0
1,1,0,27.0,1,0
0,3,0,20.0,0,0
1,2,1,30.0,3,0
0,2,0,25.0,1,0
0,3,1,25.0,1,0
1,1,1,29.0,0,0
0,3,0,11.0,0,0
0,2,0,23.0,0,0
0,2,0,23.0,0,0
0,3,0,28.5,0,0
0,3,1,48.0,1,3
1,1,0,35.0,0,0
0,1,0,36.0,1,0
1,1,1,21.0,2,2
0,3,0,24.0,1,0
1,3,0,31.0,0,0
0,1,0,70.0,1,1
0,3,0,16.0,1,1
1,2,1,30.0,0,0
0,1,0,19.0,1,0
0,3,0,31.0,0,0
1,2,1,4.0,1,1
1,3,0,6.0,0,1
0,3,0,33.0,0,0
0,3,0,23.0,0,0
1,2,1,48.0,1,2
1,2,0,0.67,1,1
0,3,0,28.0,0,0
0,2,0,18.0,0,0
0,3,0,34.0,0,0
1,1,1,33.0,0,0
0,3,0,41.0,0,0
1,3,0,20.0,0,0
1,1,1,36.0,1,2
0,3,0,16.0,0,0
1,1,1,51.0,1,0
0,3,1,30.5,0,0
0,3,0,32.0,0,0
0,3,0,24.0,0,0
0,3,0,48.0,0,0
0,2,1,57.0,0,0
1,2,1,54.0,1,3
0,3,0,18.0,0,0
1,3,1,5.0,0,0
1,1,1,43.0,0,1
1,3,1,13.0,0,0
1,1,1,17.0,1,0
0,1,0,29.0,0,0
0,3,0,25.0,0,0
0,3,0,25.0,0,0
1,3,1,18.0,0,0
0,3,0,8.0,4,1
1,3,0,1.0,1,2
0,1,0,46.0,0,0
0,2,0,16.0,0,0
0,3,0,25.0,0,0
0,2,0,39.0,0,0
1,1,1,49.0,0,0
1,3,1,31.0,0,0
0,3,0,30.0,0,0
0,3,1,30.0,1,1
0,2,0,34.0,0,0
1,2,1,31.0,1,1
1,1,0,11.0,1,2
1,3,0,0.42,0,1
1,3,0,27.0,0,0
0,3,0,31.0,0,0
0,1,0,39.0,0,0
0,3,1,18.0,0,0
0,2,0,39.0,0,0
1,1,1,33.0,1,0
0,3,0,26.0,0,0
0,3,0,39.0,0,0
0,2,0,35.0,0,0
0,3,1,6.0,4,2
0,3,0,30.5,0,0
0,3,1,23.0,0,0
0,2,0,31.0,1,1
0,3,0,43.0,0,0
0,3,0,10.0,3,2
1,1,1,52.0,1,1
1,3,0,27.0,0,0
0,1,0,38.0,0,0
1,3,1,27.0,0,1
0,3,0,2.0,4,1
1,2,0,1.0,0,2
1,1,1,62.0,0,0
1,3,1,15.0,1,0
1,2,0,0.83,1,1
0,3,0,23.0,0,0
0,3,0,18.0,0,0
1,1,1,39.0,1,1
0,3,0,21.0,0,0
1,3,0,32.0,0,0
0,3,0,20.0,0,0
0,2,0,16.0,0,0
1,1,1,30.0,0,0
0,3,0,34.5,0,0
0,3,0,17.0,0,0
0,3,0,42.0,0,0
0,3,0,35.0,0,0
0,2,0,28.0,0,1
0,3,0,4.0,4,2
0,3,0,74.0,0,0
0,3,1,9.0,1,1
1,1,1,16.0,0,1
0,2,1,44.0,1,0
1,3,1,18.0,0,1
1,1,1,45.0,1,1
1,1,0,51.0,0,0
1,3,1,24.0,0,3
0,3,0,41.0,2,0
0,2,0,21.0,1,0
1,1,1,48.0,0,0
0,2,0,24.0,0,0
1,2,1,42.0,0,0
1,2,1,27.0,1,0
0,1,0,31.0,0,0
1,3,0,4.0,1,1
0,3,0,26.0,0,0
1,1,1,47.0,1,1
0,1,0,33.0,0,0
0,3,0,47.0,0,0
1,2,1,28.0,1,0
1,3,1,15.0,0,0
0,3,0,20.0,0,0
0,3,0,19.0,0,0
1,1,1,56.0,0,1
1,2,1,25.0,0,1
0,3,0,33.0,0,0
0,3,1,22.0,0,0
0,2,0,28.0,0,0
0,3,0,25.0,0,0
0,3,1,39.0,0,5
0,2,0,27.0,0,0
1,1,1,19.0,0,0
1,1,0,26.0,0,0
0,3,0,32.0,0,0
